cand id	BERTScore_F1	BERTScore_P	BERTScore_R	bert_s+wms	bert_sms	bert_wms	BLEU	elmo_s+wms	elmo_sms	elmo_wms	glove_s+wms	glove_sms	glove_wms	ROUGE-1	ROUGE-2	ROUGE-L	SentBERT	score
7419	0.8341753	0.83809286	0.83029425	1.72E-05	0.000229404	1.27E-06	0.141909036	5.42E-06	0.000300704	9.56E-08	0.020273148	0.082596911	0.00491009	0.294117642	0.037634404	0.195918363	8.36E-10	3
7424	0.8483449	0.8490686	0.84762263	9.34E-06	0.000164397	5.27E-07	0.175427806	7.44E-06	0.000375178	1.48E-07	0.027772459	0.098997853	0.007753185	0.334065929	0.030905072	0.264808357	1.52E-09	3
7429	0.8221357	0.81614	0.82822007	1.20E-05	0.000207588	6.92E-07	0.148057533	6.27E-06	0.000438037	8.88E-08	0.021830829	0.09982258	0.004725161	0.290640389	0.02475247	0.20216606	2.02E-10	3
7433	0.8450634	0.8541701	0.8361489	2.24E-05	0.000355568	1.41E-06	0.098442021	5.96E-06	0.000365196	9.72E-08	0.024123304	0.093529983	0.006218741	0.29746835	0.044585983	0.266666662	7.41E-10	2
7435	0.81911856	0.8126839	0.825656	1.07E-05	0.000183013	6.30E-07	0.155714108	4.79E-06	0.000290864	7.80E-08	0.020600777	0.087645445	0.004810001	0.279720275	0.018735358	0.178807942	4.29E-10	3
7436	0.84228116	0.8597357	0.82552123	1.24E-05	0.000231574	6.59E-07	0.081099212	5.37E-06	0.000404147	7.09E-08	0.021341817	0.094247121	0.004815263	0.290322576	0.025974022	0.200913238	2.41E-10	2
7437	0.8362113	0.8438017	0.8287563	1.65E-05	0.000270887	9.97E-07	0.149857389	5.47E-06	0.000330527	9.04E-08	0.017740736	0.082392479	0.003815687	0.281329918	0.030848324	0.185873601	2.29E-10	2
7440	0.8243139	0.83051354	0.81820613	8.09E-06	0.000135803	4.79E-07	0.03796048	2.73E-06	0.000150999	4.91E-08	0.019029165	0.06933089	0.005138399	0.205479448	0.020689651	0.14150943	1.21E-10	2
7442	0.8192145	0.8304042	0.8083223	7.88E-06	8.23E-05	7.54E-07	0.020311713	2.89E-06	0.000156163	5.35E-08	0.0148012	0.064748308	0.003363373	0.182481748	0.02205882	0.142131976	1.06E-10	1
7444	0.81547916	0.8061544	0.8250222	1.29E-05	0.000215974	7.64E-07	0.111074055	7.88E-06	0.000651571	9.53E-08	0.024074242	0.117665294	0.004923536	0.228915658	0.020161285	0.181159415	5.98E-10	3
7447	0.84573525	0.8661702	0.8262422	1.50E-05	0.000266976	8.42E-07	0.048494489	5.13E-06	0.000329406	8.00E-08	0.021682703	0.092619084	0.005075898	0.246575339	0.027586203	0.153110044	8.72E-10	1
7448	0.83313614	0.8379612	0.82836646	9.09E-06	0.000141428	5.80E-07	0.089629855	3.08E-06	0.000170104	5.55E-08	0.016260969	0.065184405	0.004031089	0.265861023	0.03647416	0.1787234	4.92E-10	2
7450	0.83263373	0.84431523	0.8212711	9.26E-06	0.000151661	5.61E-07	0.069677524	4.69E-06	0.00027238	8.06E-08	0.019185502	0.085715137	0.004294266	0.262820508	0.019354834	0.207207203	1.21E-09	2
7453	0.79400814	0.7738048	0.81529474	1.79E-05	0.000280223	1.14E-06	0.159784191	2.86E-08	4.33E-07	1.89E-09	0.022211759	0.103987957	0.004740885	0	0	0	1.31E-09	3
7454	0.81054205	0.8119487	0.8091401	9.75E-06	0.000176383	5.37E-07	0.090225637	3.35E-06	0.000224715	4.98E-08	0.018242893	0.085492062	0.003883303	0.23428571	0.022988501	0.126582274	3.36E-10	1
7455	0.83202153	0.8399034	0.82428634	1.80E-05	0.000290174	1.11E-06	0.117146165	5.00E-06	0.000249405	9.99E-08	0.019869975	0.080595443	0.004823803	0.286549703	0.035294113	0.206008579	6.90E-10	3
7456	0.8308855	0.8268846	0.8349255	1.03E-05	0.000174525	5.94E-07	0.13618343	5.41E-06	0.000377324	7.68E-08	0.018520014	0.083573606	0.004054465	0.273858916	0.029166662	0.177777773	1.27E-10	3
7458	0.8366564	0.85714877	0.8171211	6.97E-06	0.000109275	4.40E-07	0.024089601	2.54E-06	0.000125721	4.99E-08	0.013558273	0.054430117	0.003337129	0.210909087	0.021978019	0.162436545	3.04E-10	2
7459	0.83927196	0.8600142	0.81950676	5.28E-06	9.04E-05	3.01E-07	0.025634348	2.57E-06	0.000182289	3.62E-08	0.01382357	0.061596211	0.003094271	0.223826711	0.007272724	0.201005021	2.90E-10	1
7461	0.8306276	0.8364796	0.8248569	1.45E-05	0.000299231	6.97E-07	0.127728804	6.15E-06	0.00040435	9.32E-08	0.021368017	0.100377983	0.004540086	0.293628804	0.027855148	0.180327864	8.05E-10	2
7462	0.83209324	0.84412134	0.82040304	6.43E-06	8.38E-05	4.91E-07	0.051344077	2.15E-06	0.000102303	4.47E-08	0.013454596	0.051493091	0.003453802	0.236486482	0.013605438	0.201923073	7.36E-10	2
7464	0.81902957	0.81741893	0.8206466	1.21E-05	0.000171798	8.20E-07	0.128806493	3.69E-06	0.000233507	5.74E-08	0.01778673	0.080065387	0.003824033	0.283378742	0.032876707	0.210526311	3.38E-10	2
7467	0.8245158	0.81846875	0.83065295	1.04E-05	0.000202097	5.29E-07	0.158946914	5.28E-06	0.000377	7.39E-08	0.025899434	0.107751571	0.006222372	0.296137334	0.038793098	0.194630867	4.73E-10	3
7468	0.8304519	0.8377467	0.823283	1.15E-05	0.000219883	6.04E-07	0.126692693	4.08E-06	0.000271936	6.11E-08	0.019451543	0.085534979	0.004402602	0.292134827	0.022598865	0.2173913	2.17E-10	1
7469	0.8333422	0.8439315	0.8230153	8.14E-06	0.00012481	5.13E-07	0.133665866	4.20E-06	0.000218644	8.07E-08	0.020401233	0.074344984	0.005520186	0.317548742	0.039215681	0.220338978	5.51E-10	2
7472	0.81171894	0.81486595	0.8085961	3.90E-06	6.42E-05	2.35E-07	0.024217763	1.56E-06	9.63E-05	2.54E-08	0.013654809	0.066345226	0.002775334	0.115254233	0	0.095238091	5.99E-11	2
7473	0.8264109	0.8283897	0.8244415	9.24E-06	0.000192562	4.43E-07	0.102255727	3.03E-06	0.000249598	3.66E-08	0.017329913	0.092179856	0.003230883	0.252100836	0.016901404	0.162162157	1.46E-10	3
7474	0.8253312	0.83324945	0.8175621	9.85E-06	0.000148736	6.43E-07	0.092165677	3.95E-06	0.000217142	7.09E-08	0.016852275	0.072858888	0.00383898	0.285714281	0.024464827	0.217194566	2.13E-10	2
7475	0.82180023	0.8268194	0.8168416	1.10E-05	0.000167179	7.15E-07	0.114765077	3.04E-06	0.000171713	5.34E-08	0.01560759	0.069826363	0.003482184	0.225641021	0.010309273	0.145748983	5.74E-10	2
7476	0.8286163	0.8313537	0.8258969	1.26E-05	0.000214178	7.36E-07	0.152344248	4.02E-06	0.000283613	5.70E-08	0.020330836	0.085477612	0.004827864	0.262626258	0.030456848	0.183999995	5.89E-10	2
7478	0.8360316	0.83056396	0.8415718	2.26E-05	0.000362108	1.41E-06	0.161226697	8.09E-06	0.000487745	1.34E-07	0.02326884	0.090689096	0.005907375	0.324873091	0.03061224	0.195488717	2.55E-10	3
7480	0.8328826	0.8287464	0.8370602	2.11E-05	0.000437813	1.02E-06	0.174723915	8.70E-06	0.000761025	9.94E-08	0.024233719	0.108885673	0.005393484	0.309582305	0.019753081	0.187050355	7.10E-10	3
7482	0.8346673	0.84301686	0.8264815	1.05E-05	0.000175919	6.26E-07	0.072987456	5.56E-06	0.000505885	6.11E-08	0.018276711	0.093917341	0.003556725	0.216049378	0.018633536	0.155172409	8.42E-10	2
7483	0.82069397	0.8333618	0.80840546	8.85E-06	0.000145545	5.33E-07	0.020052211	2.35E-06	0.000141301	3.89E-08	0.014431812	0.066843263	0.003058246	0.158273378	0.021739127	0.109452733	1.42E-10	2
7484	0.83169454	0.85171884	0.8125902	6.46E-06	0.00011209	3.69E-07	0.021817236	2.54E-06	0.000130823	4.92E-08	0.010716668	0.044634001	0.002510261	0.181818178	0.014652011	0.154639172	8.04E-11	1
7486	0.8255025	0.8301706	0.8208867	1.69E-05	0.000267436	1.06E-06	0.016961527	3.44E-06	0.000239915	4.93E-08	0.016215997	0.084470267	0.003109295	0.144927533	0.014598537	0.118811877	1.29E-09	1
7490	0.8382956	0.85900813	0.8185584	1.28E-05	0.000210481	7.74E-07	0.059980275	5.02E-06	0.000314984	7.99E-08	0.017096957	0.07996853	0.003640154	0.259136208	0.026755849	0.176470584	4.87E-10	2
7491	0.83260834	0.8354751	0.8297612	1.77E-05	0.000320001	9.82E-07	0.151754933	7.04E-06	0.000461785	1.07E-07	0.024788498	0.098871988	0.006213258	0.267639898	0.034229824	0.157706088	8.77E-10	3
7492	0.832164	0.83233255	0.83199555	2.20E-05	0.000344725	1.40E-06	0.152004706	6.80E-06	0.000391132	1.18E-07	0.020472479	0.08583336	0.004802335	0.291105116	0.03252032	0.180392152	5.74E-10	2
7493	0.84002733	0.837552	0.8425174	1.65E-05	0.00021538	1.24E-06	0.168838566	6.20E-06	0.000321256	1.18E-07	0.025015167	0.085861708	0.007213281	0.34183673	0.035897431	0.208178434	4.70E-10	3
