cand id	BLEU	ROUGE-1	ROUGE-2	ROUGE-L	BERTScore_P	BERTScore_R	BERTScore_F1	bert_s+wms	bert_sms	bert_wms	elmo_s+wms	elmo_sms	elmo_wms	glove_s+wms	glove_sms	glove_wms	score
6571	0.139505601	0.248677244	0.02659574	0.183206102	0.8350785	0.83500844	0.8350435	0.00000381	0.00017098	6.99E-07	1.83E-06	0.000187728	2.22E-07	0.013247133	0.068785892	0.00619395	2
6572	0.14032645	0.297752804	0.039548018	0.203389826	0.84124255	0.8348523	0.8380352	0.00000448	0.000196448	1.10E-06	2.48E-06	0.000260615	3.28E-07	0.014884354	0.085517014	0.006936214	3
6573	0.016264736	0.178438658	0.029962544	0.191489358	0.8475214	0.8082799	0.8274357	0.00000152	8.02E-05	3.62E-07	1.45E-06	0.000158985	2.20E-07	0.009213086	0.056589502	0.004487148	1
6575	0.188070514	0.334928225	0.033653841	0.248062011	0.84185696	0.8253951	0.8335448	0.00000747	0.000286138	1.71E-06	2.98E-06	0.000301645	3.85E-07	0.011447722	0.075974463	0.004970288	3
6576	0.076963248	0.256410252	0.038709673	0.157407403	0.8467321	0.8238589	0.8351389	0.000003	0.000161211	6.49E-07	1.25E-06	0.000177182	1.49E-07	0.007407107	0.061304235	0.002982079	2
6577	0.034304674	0.226148406	0.035587185	0.169999996	0.83665466	0.81250876	0.8244049	0.00000189	0.000103757	3.55E-07	1.24E-06	0.000137923	1.68E-07	0.006857951	0.049844648	0.002982139	1
6578	0.058354789	0.229508193	0.026402636	0.181818177	0.82348055	0.8151135	0.8192756	0.00000396	0.000175187	8.21E-07	1.19E-06	0.000147158	1.43E-07	0.00802139	0.06703377	0.003153627	3
6579	0.116453883	0.261111106	0.016759772	0.166666662	0.82020247	0.8176434	0.8189209	0.00000343	0.000200869	8.81E-07	1.58E-06	0.000217784	2.08E-07	0.010154169	0.079325952	0.004377616	2
6580	0.109879267	0.254847641	0.016713087	0.196078427	0.82114905	0.82336605	0.8222561	0.00000255	0.000164087	5.60E-07	1.17E-06	0.000238146	1.36E-07	0.007485401	0.074758649	0.002925998	2
6581	0.02491442	0.194244601	0.021739127	0.12307692	0.85472226	0.81911486	0.83653975	0.00000372	0.000273507	6.72E-07	1.81E-06	0.000286481	1.83E-07	0.009108091	0.078014364	0.003436046	1
6582	0.137242175	0.29444444	0.033519548	0.211382109	0.8504402	0.83573675	0.8430244	0.00000524	0.000318666	1.04E-06	2.83E-06	0.000361962	3.30E-07	0.015333376	0.097865164	0.00676466	2
6583	0.030845969	0.151202745	0.027681657	0.122065724	0.82844484	0.82255924	0.82549155	0.00000276	0.000113568	5.63E-07	1.56E-06	0.000197475	1.75E-07	0.009985414	0.070620674	0.004088194	2
6584	0.144153751	0.292682922	0.038147134	0.197628454	0.8307515	0.82876205	0.8297556	0.00000321	0.000174764	7.00E-07	1.82E-06	0.000234253	2.41E-07	0.013259779	0.08356199	0.006128483	3
6585	0.000515195	0.07377049	0.016528923	0.067415728	0.8198898	0.8010519	0.81036144	0.000000643	4.93E-05	1.19E-07	7.36E-07	0.000112364	8.50E-08	0.006787663	0.058741151	0.002649234	0
6586	0.097698626	0.208092481	0.017441856	0.170940166	0.84424806	0.8265996	0.8353306	0.00000185	4.29E-05	5.20E-07	9.16E-07	5.87E-05	1.69E-07	0.006736238	0.03625767	0.003350601	2
6587	0.05351193	0.202614375	0.013157891	0.16513761	0.8271986	0.8204997	0.82383555	0.00000271	0.000135765	5.07E-07	1.07E-06	0.0001534	1.13E-07	0.00999131	0.068702434	0.004160147	1
6588	0.000940408	0.114285712	0.00823045	0.113636361	0.8407886	0.7986195	0.8191617	0.00000228	0.000112509	6.05E-07	1.37E-06	0.000204841	1.62E-07	0.003815982	0.049799367	0.001298391	0
6589	0.036345294	0.178694154	0.020761242	0.152380948	0.85089505	0.8230866	0.8367598	0.00000268	9.45E-05	6.25E-07	1.46E-06	0.000138025	1.99E-07	0.008748425	0.054593446	0.003876147	1
6590	0.041104953	0.221453283	0.027874561	0.159999996	0.8569469	0.8230572	0.8396602	0.00000404	0.000152479	8.85E-07	1.50E-06	0.000139301	2.01E-07	0.008940323	0.058295128	0.003891511	2
6591	0.041284333	0.154838705	0	0.146118717	0.8097549	0.8089214	0.8093379	0.00000323	0.000147449	5.93E-07	1.64E-06	0.000194125	1.92E-07	0.007993647	0.065239195	0.003082463	1
6592	0.115721847	0.268907558	0.022535206	0.183333329	0.8272912	0.8227683	0.82502353	0.00000424	0.000150715	9.56E-07	2.36E-06	0.000219725	3.41E-07	0.009311789	0.057543636	0.004333034	3
6593	0.061758448	0.199999996	0.032467528	0.146788987	0.83399343	0.81922585	0.8265437	0.00000116	8.29E-05	2.97E-07	1.07E-06	0.00019551	1.15E-07	0.011102806	0.083899183	0.004672675	2
6594	0.046394515	0.232081907	0.020618553	0.160804016	0.85178024	0.81368864	0.83229876	0.00000463	0.000288357	6.97E-07	9.75E-07	0.000192004	8.15E-08	0.010276352	0.087938587	0.003754124	1
