cand id	bleu	R1f	R1p	R1r	R2f	R2p	R2r	RLf	RLp	RLr	glove_wms	glove_sms	glove_s+wms	elmo_wms	elmo_sms	elmo_s+wms	bert_wms	bert_sms	bert_s+wms	bertscore-p	bertscore-r	bertscore-f1	SentBERT	score
385	0.017321886	0.372093019	0.292682927	0.510638298	0.188976373	0.148148148	0.260869565	0.423076918	0.349206349	0.536585366	0.01522914	0.087706254	0.036547104	2.60E-07	0.000217452	7.52E-06	3.98E-06	0.000410913	4.05E-05	0.8334868	0.8726893	0.8526377	1.15E-09	0.5
386	0.017294808	0.403846149	0.381818182	0.428571429	0.235294113	0.222222222	0.25	0.363636359	0.363636364	0.363636364	0.018676584	0.118579588	0.047207967	2.97E-07	0.000428619	1.13E-05	5.36E-06	0.000942	7.11E-05	0.89121246	0.88828135	0.8897445	6.85E-09	0.5
387	0	0.444444439	0.452830189	0.436363636	0.283018863	0.288461538	0.277777778	0.494382018	0.55	0.448979592	0.032181778	0.203157963	0.080863482	6.62E-06	0.002895738	0.000138447	2.11E-05	0.001834087	0.000196715	0.9186044	0.8898306	0.90398854	9.54E-08	0
388	0	0.256410251	0.23255814	0.285714286	0.078947363	0.071428571	0.088235294	0.179104473	0.171428571	0.1875	0.013069091	0.126880373	0.040721143	4.56E-08	0.000502549	4.78E-06	3.17E-06	0.001004502	5.64E-05	0.88744307	0.8756239	0.8814938	1.29E-09	1
389	0.016355625	0.26086956	0.263157895	0.25862069	0.070796455	0.071428571	0.070175439	0.259999995	0.25	0.270833333	0.004649179	0.059394831	0.016633011	2.92E-08	0.000111746	1.81E-06	2.39E-06	0.000317343	2.75E-05	0.85656077	0.8698243	0.86314154	4.58E-11	1
390	0.018348431	0.266666662	0.28	0.254545455	0.077669898	0.081632653	0.074074074	0.258064511	0.266666667	0.25	0.00547398	0.075362128	0.020310856	3.63E-08	0.000339209	3.51E-06	4.72E-07	0.000233427	1.05E-05	0.88187706	0.87132883	0.8765712	1.16E-10	1
391	0.019125191	0.3368421	0.32	0.355555556	0.064516124	0.06122449	0.068181818	0.324324319	0.333333333	0.315789474	0.018135985	0.063879762	0.034543274	3.20E-07	0.000106612	5.92E-06	3.20E-06	0.000242516	2.79E-05	0.8800942	0.8839054	0.8819957	1.13E-09	0
392	0.010356683	0.307692303	0.25	0.4	0.099290775	0.08045977	0.12962963	0.28070175	0.242424242	0.333333333	0.006178204	0.067100241	0.020360722	1.77E-08	0.000156053	1.66E-06	8.72E-07	0.000295307	1.61E-05	0.85997885	0.8795941	0.8696758	2.52E-10	0
393	0.013589921	0.491803274	0.441176471	0.555555556	0.271186436	0.242424242	0.307692308	0.634146336	0.65	0.619047619	0.030612037	0.111376359	0.058390565	3.20E-07	0.000515434	1.29E-05	6.12E-06	0.00154961	9.77E-05	0.8932688	0.85863805	0.8756111	2.77E-08	-0.5
394	0.012336223	0.259259254	0.253012048	0.265822785	0.099999995	0.097560976	0.102564103	0.253968249	0.262295082	0.246153846	0.008869061	0.080336949	0.026723284	5.30E-08	0.000198146	3.24E-06	6.92E-07	0.000153808	1.03E-05	0.8267893	0.86123574	0.84366107	5.46E-09	-0.5
395	0.006168111	0.310810806	0.294871795	0.328571429	0.123287666	0.116883117	0.130434783	0.344827581	0.338983051	0.350877193	0.009429868	0.056928338	0.023180704	1.40E-07	9.03E-05	3.57E-06	8.15E-07	0.00019348	1.26E-05	0.87367487	0.8664984	0.8700718	1.56E-10	0
396	0.017983242	0.288135588	0.333333333	0.253731343	0.103448271	0.12	0.090909091	0.255319144	0.292682927	0.226415094	0.006801273	0.067068092	0.021357769	8.64E-08	0.000157573	3.71E-06	7.35E-07	0.000159731	1.10E-05	0.87227356	0.85060644	0.8613038	3.12E-09	-0.5
397	0	0.177215185	0.2	0.159090909	0	0	0	0.156249995	0.217391304	0.12195122	0.007255096	0.075259871	0.023592399	3.85E-08	8.75E-05	1.84E-06	1.51E-06	0.000289923	2.23E-05	0.8564605	0.8525131	0.85448223	7.20E-09	-0.5
398	0.008177812	0.352941171	0.375	0.333333333	0.136752132	0.145454545	0.129032258	0.319999995	0.347826087	0.296296296	0.01082278	0.107446499	0.034100866	1.63E-07	0.000435264	8.42E-06	4.74E-06	0.000795667	6.14E-05	0.87022686	0.86546063	0.8678372	8.15E-09	0
399	0.020894277	0.526315785	0.444444444	0.64516129	0.405405401	0.340909091	0.5	0.58461538	0.542857143	0.633333333	0.033250846	0.150456847	0.070730589	5.25E-06	0.001878288	9.93E-05	3.96E-05	0.003130917	0.00035195	0.90077865	0.91811454	0.909364	6.78E-08	0
400	0.006819881	0.399999995	0.343283582	0.479166667	0.212389376	0.181818182	0.255319149	0.421052627	0.392156863	0.454545455	0.013068866	0.086733709	0.033667647	1.39E-07	0.000288961	6.36E-06	5.86E-06	0.001131156	8.21E-05	0.88793725	0.90006673	0.8939609	1.36E-08	0.5
401	0.013589921	0.149253726	0.147058824	0.151515152	0	0	0	0.133333328	0.137931034	0.129032258	0.004014219	0.070644637	0.016839929	2.69E-08	0.000195335	2.29E-06	7.22E-07	0.000376086	1.67E-05	0.85272586	0.8505056	0.85161424	3.04E-09	0.5
402	0	0.459459455	0.404761905	0.53125	0.222222217	0.195121951	0.258064516	0.523076918	0.447368421	0.62962963	0.026912844	0.10606814	0.05369783	1.34E-06	0.000657076	2.98E-05	9.62E-06	0.000590915	7.54E-05	0.89461315	0.9085508	0.90152806	2.50E-08	0
403	0.010694451	0.376470583	0.363636364	0.390243902	0.192771079	0.186046512	0.2	0.368421048	0.378378378	0.358974359	0.026259465	0.13052475	0.058544948	4.10E-07	0.000715185	1.71E-05	1.78E-05	0.002904633	0.000227202	0.87672836	0.8747602	0.87574315	7.87E-09	0
404	0.009985315	0.282352936	0.260869565	0.307692308	0.048192766	0.044444444	0.052631579	0.328767118	0.285714286	0.387096774	0.023325207	0.115443568	0.051896189	1.03E-07	0.000429632	6.66E-06	6.76E-06	0.0025337	0.000130897	0.89658153	0.90071934	0.8986457	4.98E-08	0
405	0.006431535	0.346456688	0.293333333	0.423076923	0.047999995	0.040540541	0.058823529	0.279999995	0.24137931	0.333333333	0.008486015	0.086182554	0.027043402	7.22E-08	0.000258901	4.33E-06	5.94E-07	0.000179866	1.03E-05	0.85539997	0.87015975	0.86271673	3.54E-10	0
406	0.021388902	0.349206345	0.255813953	0.55	0.098360651	0.071428571	0.157894737	0.367346934	0.3	0.473684211	0.011177887	0.086945119	0.031174698	3.29E-07	0.000256337	9.18E-06	5.11E-06	0.000736545	6.14E-05	0.88834935	0.8976803	0.89299047	2.85E-09	0
407	0.012130252	0.324324319	0.307692308	0.342857143	0.083333328	0.078947368	0.088235294	0.32258064	0.333333333	0.3125	0.019655875	0.122502461	0.049070264	1.42E-07	0.000451136	7.99E-06	1.36E-06	0.000267754	1.91E-05	0.8374681	0.8654843	0.85124576	1.76E-08	1
408	0.015784194	0.324324319	0.285714286	0.375	0.110091738	0.096774194	0.127659574	0.258823524	0.239130435	0.282051282	0.005486411	0.057742045	0.017798786	1.27E-07	0.000164882	4.57E-06	2.04E-06	0.000445948	3.02E-05	0.8634384	0.87127894	0.867341	1.43E-10	0
409	0.016355625	0.354166662	0.303571429	0.425	0.085106378	0.072727273	0.102564103	0.405063286	0.355555556	0.470588235	0.008687388	0.070500995	0.024748124	4.08E-08	0.000123603	2.25E-06	9.06E-07	0.000189221	1.31E-05	0.8672256	0.8640832	0.86565155	4.38E-09	0.5
