cand id	bleu	R1f	R1p	R1r	R2f	R2p	R2r	RLf	RLp	RLr	glove_wms	glove_sms	glove_s+wms	elmo_wms	elmo_sms	elmo_s+wms	bert_wms	bert_sms	bert_s+wms	bertscore-p	bertscore-r	bertscore-f1	SentBERT	score
366	0.009985315	0.181818178	0.130434783	0.3	0.031249996	0.022222222	0.052631579	0.169491521	0.128205128	0.25	0.002180587	0.05737906	0.011185709	1.53E-08	8.82E-05	1.16E-06	2.10E-07	0.000133436	5.30E-06	0.84726036	0.87577313	0.86128086	5.25E-09	0
367	0.009174215	0.265060236	0.22	0.333333333	0.123456785	0.102040816	0.15625	0.239999995	0.204545455	0.290322581	0.008681644	0.104056928	0.030056364	1.93E-07	0.00050091	9.84E-06	1.88E-06	0.000473527	3.03E-05	0.86544204	0.8627976	0.8641178	5.36E-10	0.5
368	0.016355625	0.293103443	0.303571429	0.283333333	0.087719293	0.090909091	0.084745763	0.295454541	0.351351351	0.254901961	0.019120453	0.094136497	0.042425596	1.59E-07	0.000187653	5.47E-06	1.92E-06	0.000397939	2.80E-05	0.87160873	0.8570899	0.86428833	4.13E-09	0
369	0.005773962	0.287999996	0.21686747	0.428571429	0.113821134	0.085365854	0.170731707	0.279999995	0.229508197	0.358974359	0.007529404	0.060220069	0.021476202	2.61E-08	0.000101504	1.63E-06	5.99E-07	0.00032192	1.40E-05	0.81404066	0.85513496	0.834082	1.48E-10	0.5
370	0.010953758	0.45977011	0.465116279	0.454545455	0.164705877	0.166666667	0.162790698	0.441558437	0.435897436	0.447368421	0.039086424	0.157863561	0.079007327	7.88E-07	0.00067089	2.30E-05	3.47E-06	0.000745696	5.14E-05	0.8735058	0.89623415	0.884724	1.57E-07	-0.5
371	0.014459946	0.410958899	0.454545455	0.375	0.197183094	0.21875	0.179487179	0.437499995	0.466666667	0.411764706	0.012244651	0.066552384	0.028870355	1.15E-07	0.000173759	4.47E-06	2.10E-06	0.000258737	2.33E-05	0.88177824	0.8701848	0.8759432	5.79E-10	0
372	0.016657143	0.259259254	0.25	0.269230769	0.056603769	0.054545455	0.058823529	0.255813948	0.268292683	0.244444444	0.005902966	0.063923716	0.019436277	3.52E-08	7.69E-05	1.68E-06	8.67E-07	0.000123569	1.06E-05	0.8377682	0.8346324	0.8361973	1.81E-09	-0.5
373	0	0.326530607	0.340425532	0.31372549	0.104166662	0.108695652	0.1	0.320987649	0.317073171	0.325	0.005777312	0.124014823	0.026767021	1.47E-07	0.000904047	1.15E-05	3.95E-06	0.001443613	7.55E-05	0.87308663	0.8777622	0.8754182	6.11E-09	1
374	0	0.254237283	0.254237288	0.254237288	0.034482754	0.034482759	0.034482759	0.242424237	0.235294118	0.25	0.009793623	0.070208158	0.026221984	8.81E-08	0.000156297	3.71E-06	1.32E-06	0.00025131	1.82E-05	0.86636364	0.8737484	0.87004036	1.64E-10	1
375	0.007032188	0.199999995	0.153846154	0.285714286	0.020408159	0.015625	0.029411765	0.186046507	0.150943396	0.242424242	0.001534644	0.051319934	0.008874561	1.20E-08	0.000134525	1.27E-06	1.76E-07	0.000163618	5.37E-06	0.839778	0.83973783	0.8397579	4.91E-11	0
376	0.018012497	0.239999995	0.230769231	0.25	0.027027022	0.025974026	0.028169014	0.21538461	0.212121212	0.21875	0.004575106	0.053027445	0.015610002	4.78E-08	9.87E-05	2.17E-06	3.88E-07	8.94E-05	5.94E-06	0.8326478	0.8425794	0.8375842	2.43E-10	0.5
377	0.01544901	0.064516124	0.060606061	0.068965517	0	0	0	0.068965512	0.064516129	0.074074074	0.000800534	0.031537145	0.005206885	2.08E-09	1.66E-05	1.87E-07	8.14E-08	3.06E-05	1.59E-06	0.823956	0.8240705	0.8240133	1.10E-11	0.5
378	0	0.425925921	0.343283582	0.56097561	0.245283014	0.196969697	0.325	0.456521734	0.381818182	0.567567568	0.037058843	0.154433999	0.075748812	2.09E-06	0.000960433	4.48E-05	1.43E-05	0.001066744	0.000123834	0.8737555	0.896147	0.8848097	3.23E-07	0.5
379	0.015513195	0.237288131	0.237288136	0.237288136	0.017241374	0.017241379	0.017241379	0.196078426	0.2	0.192307692	0.002871566	0.067681388	0.013945402	5.31E-09	3.59E-05	4.37E-07	9.29E-08	5.76E-05	2.32E-06	0.8228144	0.8147018	0.8187379	2.78E-11	0.5
380	0.017776255	0.345323736	0.307692308	0.393442623	0.072992696	0.064935065	0.083333333	0.283185836	0.262295082	0.307692308	0.00892653	0.072918703	0.025531765	8.06E-08	0.000169083	3.69E-06	2.79E-06	0.000594114	4.07E-05	0.8715317	0.8824633	0.8769635	2.87E-10	1
381	0	0.230088491	0.371428571	0.166666667	0.108108104	0.176470588	0.077922078	0.199999996	0.421052632	0.131147541	0.003441947	0.045530021	0.012530799	1.76E-08	4.53E-05	8.94E-07	4.21E-07	9.93E-05	6.50E-06	0.8577781	0.81981444	0.83836675	2.01E-10	0
382	0.028919892	0.115942024	0.117647059	0.114285714	0	0	0	0.124999996	0.1875	0.09375	0.001204664	0.042643089	0.007167331	1.21E-08	7.46E-05	9.50E-07	1.17E-07	6.94E-05	2.86E-06	0.81842095	0.8385956	0.82838553	2.30E-11	-0.5
383	0.014011439	0.338983046	0.303030303	0.384615385	0.175438592	0.15625	0.2	0.38461538	0.357142857	0.416666667	0.01398311	0.088877122	0.035253069	2.08E-07	0.000310953	8.03E-06	3.89E-06	0.000458752	4.23E-05	0.88591975	0.8922539	0.8890755	3.85E-09	1
384	0.017632308	0.311111106	0.403846154	0.253012048	0.060150371	0.078431373	0.048780488	0.259259254	0.325581395	0.215384615	0.005706194	0.070560859	0.020065748	2.46E-08	9.50E-05	1.53E-06	7.12E-07	0.000227711	1.27E-05	0.8540565	0.83846676	0.8461898	3.24E-10	0
