candidate_id	reference_id	similarity	dist	score
6047	1	5.274244119241378e-07	14.455260276794434	1.0
6048	1	8.031722973302064e-07	14.034696578979492	1.0
6049	1	5.894009668296127e-07	14.344159126281738	1.0
6050	1	1.245355703665692e-06	13.596089363098145	3.0
6051	1	9.443316302521307e-07	13.872788429260254	1.0
6052	1	8.693801557007983e-07	13.955485343933105	2.0
6053	1	8.100701554334394e-07	14.026144981384277	1.0
6054	1	4.3448761516230734e-07	14.64909839630127	1.0
6055	1	4.843390719112739e-07	14.540480613708496	2.0
6056	1	4.2165110138108287e-07	14.67908763885498	1.0
6057	1	8.297036354639417e-07	14.002197265625	3.0
6058	1	8.521559456084093e-07	13.975496292114258	2.0
6059	1	5.860100742900096e-07	14.349928855895996	1.0
6060	1	6.206120777468509e-07	14.292559623718262	1.0
6061	1	1.438751919385341e-06	13.45173454284668	3.0
6062	1	4.757635541996009e-07	14.558344841003418	1.0
6063	1	1.081546365488264e-06	13.7371187210083	2.0
6064	1	7.798604759567461e-07	14.0641508102417	2.0
6065	1	4.956896237974138e-07	14.517315864562988	2.0
6066	1	4.684639140400955e-07	14.573806762695312	1.0
6067	1	5.169755418962274e-07	14.47527027130127	1.0
6068	1	1.0475431466169309e-06	13.769062995910645	2.0
6069	1	5.267151687582136e-07	14.456605911254883	2.0
6070	1	1.5680349130623607e-06	13.365687370300293	2.0
6071	1	1.0999694016920506e-06	13.72022819519043	2.0
6072	1	5.958216662404102e-07	14.333324432373047	2.0
6073	1	5.832190748757278e-07	14.354702949523926	2.0
6074	1	5.923311284497235e-07	14.339200019836426	2.0
6075	1	1.3848936094614312e-06	13.489887237548828	3.0
6076	1	6.450040463069729e-07	14.254009246826172	2.0
6077	1	4.5868679488968514e-07	14.594898223876953	1.0
6078	1	7.441473550092725e-07	14.111026763916016	2.0
6079	1	1.5140440347090808e-06	13.400726318359375	3.0
6080	1	9.741239752286213e-07	13.841727256774902	2.0
6081	1	5.548173667280717e-07	14.404626846313477	2.0
6082	1	4.687892697083357e-07	14.573112487792969	1.0
6083	1	3.617665192852717e-07	14.832266807556152	1.0
6084	1	7.141103352324022e-07	14.152228355407715	3.0
6085	1	7.65959796036859e-07	14.082136154174805	3.0
6086	1	9.055888145873201e-07	13.914680480957031	1.0
6087	1	8.221139128863275e-07	14.01138687133789	2.0
6088	1	1.1124823767850968e-06	13.708916664123535	2.0
6089	1	5.376120592582922e-07	14.436128616333008	3.0
6090	1	4.722556561088688e-07	14.56574535369873	1.0
6091	1	7.793303746414181e-07	14.064830780029297	3.0
6092	1	3.7525035639229124e-07	14.795672416687012	1.0
6093	1	7.607669916137318e-07	14.08893871307373	1.0
6094	1	6.712227862217444e-07	14.214164733886719	1.0
6095	1	1.0556554288493545e-06	13.761348724365234	3.0
6096	1	9.219680946350568e-07	13.89675521850586	2.0
6097	1	7.564637916070307e-07	14.094611167907715	1.0
6098	1	3.393743596601016e-07	14.896162033081055	3.0
6099	1	2.6545767712182815e-07	15.141810417175293	1.0
6100	1	7.216878818886959e-07	14.14167308807373	2.0
6101	1	8.318888224971652e-07	13.999567031860352	2.0
6102	1	5.175763968269542e-07	14.474108695983887	2.0
6103	1	8.930551700412054e-07	13.928617477416992	2.0
6104	1	6.09592951127458e-07	14.310474395751953	1.0
6105	1	1.2502596962354055e-06	13.592159271240234	3.0
6106	1	5.609495881578747e-07	14.393634796142578	1.0
6107	1	6.62002918441274e-07	14.227995872497559	2.0
6108	1	6.488718077131154e-07	14.248030662536621	1.0
6109	1	6.488588127833109e-07	14.248050689697266	2.0
6110	1	4.2661325405693706e-07	14.667387962341309	2.0
6111	1	9.74270767816292e-07	13.84157657623291	2.0
6112	1	9.852852306872287e-07	13.830334663391113	1.0
6113	1	1.1238818971974455e-06	13.698721885681152	3.0
6114	1	3.515106560435989e-07	14.8610258102417	1.0
6115	1	3.236310547944375e-07	14.9436616897583	2.0
6116	1	5.837232107919805e-07	14.353838920593262	2.0
6117	1	5.018297677600635e-07	14.5050048828125	1.0
6118	1	9.275010913157795e-07	13.890771865844727	3.0
