cand id	F1 score	R score	P score	score
5563	0.5914817	0.63298905	0.5897651	0
5564	0.21917409	0.39994445	0.16151862	2
5566	0.13705474	0.3688284	0.060075074	1
5567	0.39820108	0.4824008	0.3429572	1
5568	0.37811393	0.50619334	0.4182258	1
5571	0.62069064	0.55264056	0.73881155	1
5572	0.2937181	0.41397566	0.28155664	0
5575	0.33245784	0.38719094	0.39286163	0
5578	0.43372634	0.4619842	0.5745008	1
5579	0.30662757	0.48088473	0.27273342	1
5580	0.1804036	0.30120727	0.19554573	0
5582	0.4725957	0.5646042	0.47767612	0
5584	0.6013903	0.5588661	0.7024239	0
5585	0.33824086	0.38858533	0.3717789	0
5589	0.13906352	0.19372953	0.15873179	0
5590	0.4914464	0.6053285	0.44880384	1
5591	0.26980266	0.41441673	0.19158234	1
5592	0.4277314	0.5762534	0.37312916	1
5593	0.13712148	0.4380512	-0.006630318	1
5594	0.07376706	0.23035769	-0.076461785	1
5596	0.2994577	0.36961153	0.30385625	2
5597	0.23046291	0.48512554	0.044302113	2
5598	0.34576464	0.48007646	0.30463132	0
5599	0.4044545	0.6219111	0.29219773	2
5600	0.19681716	0.46439692	0.08369701	0
5603	0.1917507	0.34439135	0.14541243	2
5604	0.20153329	0.4430373	0.04849439	0
5605	0.46677312	0.488707	0.5675457	1
5606	0.13870013	0.3859384	0.05894131	0
5607	0.3227858	0.598613	0.15529759	1
5608	0.16158925	0.4173852	0.040610388	1
5609	0.34404296	0.5185203	0.3418351	1
5610	0.09006301	0.21523349	0.027742412	2
5611	0.1522121	0.24461737	0.060375758	1
5612	0.20885998	0.4216925	0.18021178	1
5613	0.14110975	0.3934041	0.04242123	1
5614	0.41453692	0.4922644	0.48576355	0
5617	0.2688915	0.5013385	0.18232083	0
5620	0.5258426	0.5693049	0.63945514	0
5621	0.32278296	0.4359872	0.31301412	1
5624	0.25815892	0.51352817	0.04851703	1
5625	0.37804365	0.5162614	0.39154145	1
5626	0.35929427	0.46452498	0.3236478	1
5627	0.15360992	0.41007265	-0.03511454	0
5628	0.18206593	0.29329446	0.08067034	1
5629	0.49567482	0.5771006	0.55949265	2
5631	0.36385608	0.48970768	0.26443198	0
5632	0.10879295	0.43770385	-0.09780594	0
5633	0.23225096	0.3678132	0.1586398	0
5634	0.27887577	0.43871018	0.3855185	1
5635	0.33291766	0.5555195	0.26234064	1
5636	0.25809607	0.46598586	0.21469665	1
5637	0.4114436	0.52469635	0.62298596	1
5639	0.42193568	0.5791069	0.44666404	0
5640	0.3650063	0.52763295	0.41117734	1
5641	0.35745394	0.5146792	0.30021688	1
5642	0.14994198	0.39720982	0.09059017	1
5644	0.0950818	0.38964826	0.011143802	0
5646	0.24408577	0.302735	0.34956524	1
5647	0.06879207	0.19096482	-0.029472599	0
5648	0.11006681	0.36099622	0.17888698	1
5649	0.10753888	0.28097034	0.045872405	0
5650	0.3032863	0.38774344	0.37759808	0
5651	0.113255866	0.30798003	-0.040688567	0
5652	0.43400005	0.5781618	0.4812748	1
5653	0.34672275	0.40974227	0.2830901	0
5654	0.21749586	0.45904508	0.21937214	1
5657	0.06752916	0.16256818	0.09265748	1
5658	0.14699872	0.20535256	0.18517134	0
5661	0.3389239	0.38282242	0.31805396	1
5662	0.34571695	0.41682702	0.35336378	1
5663	0.31838328	0.40365857	0.38174647	0
5664	0.06238253	0.32138476	-0.0041370946	1
5665	0.06823619	0.07880554	0.12085906	0
5666	0.27034017	0.43223843	0.30951977	1
5667	0.33123133	0.3831422	0.4354912	1
5668	0.3447539	0.47880414	0.23432405	2
5673	0.15301695	0.43923298	0.033301223	2
5674	0.24996415	0.37760183	0.2091067	1
5675	0.45125058	0.44484907	0.5469798	1
5676	0.25509384	0.5064279	0.15532589	1
5677	0.4632814	0.4654093	0.48634475	1
5678	0.38952494	0.4488971	0.32949987	1
5679	0.097958654	0.19380274	0.13895969	0
5680	0.27883267	0.383624	0.25922728	1
5681	0.15209979	0.30461717	0.12308626	1
5682	0.3583771	0.44041514	0.3574754	0
5683	0.5367447	0.4717321	0.76201606	0
5685	0.076350436	0.26405913	0.13782628	1
5686	0.25971848	0.48909009	0.15381503	0
5687	0.31192255	0.34110135	0.43440697	1
5689	0.26769996	0.5767264	0.13015558	1
5690	0.45194843	0.5260564	0.43377587	1
5692	0.2769263	0.5319848	0.2374894	1
5693	0.27884293	0.43396604	0.15554379	1
