LP,SYSTEM,BERT_WMS,BERT_SMS,BERT_S+WMS,ELMO_S+WMS,ELMO_SMS,ELMO_WMS,GLOVE_S+WMS,GLOVE_SMS,GLOVE_WMS,HUMAN
de-en,RWTH-UNSUPER.5482,0.005357923730670872,0.014556660550519497,0.006271152390083993,0.005659644756579985,0.020120363428669324,0.004444540773890478,0.19290794958119167,0.3859192662183887,0.10682431022638686,-0.752
de-en,RWTH.5636,0.05508916045633828,0.10073381603994017,0.0626755675503419,0.05496347164685377,0.1123885041339217,0.04236016054449896,0.40932254467499374,0.5481444864415989,0.3234631340796084,0.413
de-en,UCAM.5690,0.05039518627417985,0.09641936727391227,0.0576498694380601,0.05084948604975594,0.10743139870966736,0.03850803784949605,0.403113579263283,0.5440477017941313,0.316164060325438,0.395
de-en,Ubiqus-NMT.5635,0.04112573788991227,0.08308328058331799,0.04818878779880805,0.04407521575656646,0.09602012172401127,0.03346827117501631,0.3780632555031089,0.5274171376600338,0.2888250724494399,0.315
de-en,online-A.0,0.03257970795315072,0.06958538928114762,0.0385147663059822,0.033970835925768515,0.08016449379282378,0.025652418526635766,0.3637283322179578,0.517119275577557,0.2725204029366362,0.268
de-en,online-B.0,0.040601003716980964,0.08174468152094073,0.0471172025872937,0.04187147190533129,0.09372113829118839,0.031669477371524174,0.38379475063799495,0.5332209439170142,0.29365134683166083,0.346
de-en,online-F.0,0.006314740135554977,0.017712061854768587,0.007600218501485931,0.00635283880482032,0.02431784602301233,0.0047487353949204015,0.23822878978994486,0.42670228271518446,0.14445694985802623,-0.296
de-en,online-G.0,0.018193038256004216,0.04110301423878605,0.021309606296632446,0.016620517235911555,0.04669923072077566,0.012561213343134096,0.31841146316151453,0.4843980702960612,0.22463799692940373,-0.074
de-en,online-Y.0,0.02649027652123002,0.06127236632596939,0.031744216670968495,0.026551143154325465,0.06776743067651854,0.01953625700219341,0.34474068083232723,0.5022864035665044,0.25218348970708715,0.31
de-en,uedin.5766,0.040559597025436114,0.07998075393123372,0.047001906289704416,0.04183794914125604,0.09150483352816983,0.03221866461996786,0.37382905492330865,0.5230598773213723,0.28476333802554343,0.261
et-en,CUNI-Kocmi.5618,0.006821289350708024,0.022561341747350354,0.008424530521261976,0.007473125758661678,0.02783409390142502,0.005526668390031485,0.2150725796328086,0.4078791118529962,0.12433432628689108,0.007
et-en,HY-NMT-et-en.5463,0.012335696239192234,0.03311015860077888,0.014629554768736144,0.012251977410152291,0.03783264373157359,0.009381593716124218,0.24816932259182808,0.43662118297249863,0.15499293703065883,0.106
et-en,M4t1ss.5692,0.011896350750870073,0.03284298501208445,0.01401104290948028,0.011975056415497877,0.03899121697710846,0.009232897752829823,0.25614628306794096,0.44493258512630585,0.1599186829112435,0.187
et-en,NICT.5664,0.012701008592902976,0.03741249918208879,0.015662834302557542,0.012885993883676783,0.04314909887527076,0.009362541003458753,0.2739973871195104,0.4570027527711309,0.17820259295199403,0.238
et-en,UnsupTartu.5722,0.0004991814412684062,0.0008469735772629262,0.0005109287249970398,0.0004450051670305822,0.0023153890343192117,0.000401384654089341,0.07928342059551689,0.2515208626228904,0.02753222726997009,-0.95
et-en,neurotolge.ee.5398,0.007832183286068321,0.019981673593571957,0.0089475431090039,0.007399658786842184,0.02516844592304281,0.0058987966278992885,0.20807283221113246,0.40186128610280175,0.11934945652599065,-0.117
et-en,online-A.0,0.00760974423929804,0.022997385235073074,0.009237179036554969,0.008345337196083038,0.029200444575709278,0.006265554239228418,0.23171455586371215,0.419172826918719,0.1402629507663178,0.063
et-en,online-B.0,0.009705833220123826,0.028201464438884168,0.011593991319735934,0.010111664091127381,0.03517405348741303,0.007652276209665089,0.2441597505910267,0.43617592346388245,0.1490493484634866,0.117
et-en,online-G.0,0.003766619437013434,0.010615483447887479,0.004369727046416422,0.004093927947917708,0.016069771543897965,0.0031483994273511606,0.1972854055094052,0.38693049276423486,0.11014787730645142,-0.341
et-en,talp-upc.5421,0.008477025318393195,0.02589396891822355,0.010380195654660996,0.008899140482890864,0.031559236457192705,0.006652208488184715,0.23077617956999075,0.4220922515102233,0.13849600529767567,0.106
et-en,tilde-c-nmt-comb.5718,0.01083163915792681,0.03292001771873435,0.013395535597767922,0.011487905905523583,0.039744755894777654,0.008357838579478555,0.26399413756774626,0.4486111330420775,0.16809041506986205,0.171
et-en,tilde-c-nmt.5715,0.011399728357471228,0.034869043869964735,0.014181701994731412,0.012127937219243342,0.04143736906938547,0.008866034446220548,0.2661299249780327,0.4518761651178563,0.1698068600492754,0.215
et-en,tilde-nc-nmt.5485,0.016160139112608916,0.04163762555810213,0.019189816403449324,0.016700473358669008,0.04854888470156447,0.012863124901431388,0.28415212024032427,0.46735885925406107,0.18696788789782828,0.326
et-en,uedin.5562,0.013873532392967325,0.036615097505660076,0.0163687813411352,0.014027229589296428,0.04286866044023926,0.010784340206723975,0.26293023209946725,0.449360433494505,0.1674771288431364,0.186
fi-en,CUNI-Kocmi.5619,0.007535752526688104,0.02148140995447124,0.008992083314963968,0.007802071874618414,0.025551079006249484,0.006092232089509235,0.19771991089787602,0.3817420714946425,0.11432673187580207,0.083
fi-en,HY-NMT-fi-en.5569,0.01064756530124665,0.026266180096779494,0.012398041577994446,0.0107121751705495,0.029488270706456272,0.008741251012303301,0.2081669888328786,0.38665402356990664,0.12432679007175705,0.128
fi-en,JUCBNMT.5559,0.0014986016282983166,0.007148715217991363,0.0017689562013416303,0.0010134930010780136,0.005801540300680366,0.0007409006957967903,0.12608636635191894,0.30391728702213305,0.05802583965150499,-0.404
fi-en,NICT.5515,0.00897450747121584,0.026964327438492707,0.011097201385554778,0.009846892290589932,0.03155678761466568,0.007488459153885991,0.215949450854712,0.4012754851608597,0.1294995987665035,0.153
fi-en,online-A.0,0.00583947991399554,0.018161648500616315,0.007139329273954685,0.0063339200679282575,0.02182147808668097,0.004916559313162343,0.18876023670881012,0.3701902687991838,0.10676779318761574,0.045
fi-en,online-B.0,0.007305311682707725,0.021383346314918162,0.008843742530333105,0.007608448098304507,0.025371318177783677,0.0058805065975916955,0.1979359538287003,0.38153310737832774,0.11460770366900885,0.078
fi-en,online-G.0,0.003955756540958473,0.012049667490863896,0.004738090089309648,0.0037166236032031546,0.013883412373239553,0.0029523875117116903,0.1724243942426933,0.35301268115432055,0.09344185125530777,-0.134
fi-en,talp-upc.5423,0.0075657734591766555,0.021183458056632545,0.009009092407202574,0.007853983066317018,0.025100534579219787,0.006193308694990603,0.1939611614026513,0.3795642419749857,0.11125786679943542,0.047
fi-en,uedin.5631,0.007711111328874617,0.024559937586416215,0.00947455940448578,0.008082117835079264,0.02885027109331052,0.006070314003494854,0.20582250891146187,0.3927968866076995,0.12012773494738352,0.103
ru-en,Alibaba.5720,,,,0.021489509610122283,0.059798613459730005,0.01633227913115268,0.3065629813439682,0.48693090584458315,0.20831683025504824,0.215
ru-en,JHU.5675,,,,0.01295833064404005,0.039604306987544496,0.010083760872843649,0.2575007048870511,0.44864443538726073,0.16114682483936302,-0.027
ru-en,afrl-ruen-syscomb.5440,,,,0.012419479475659547,0.0418338759153824,0.009144031043337714,0.26726184373286727,0.4545913657870613,0.17078310311316064,-0.014
ru-en,online-A.0,,,,0.014711159013827028,0.04505304716767234,0.01115907473298178,0.2723645170453813,0.45784024745748886,0.17619658495911075,0.034
ru-en,online-B.0,,,,0.01639174137182715,0.052085335669396056,0.01191835919384842,0.2909974246145589,0.47585455215836897,0.1925634156693234,0.192
ru-en,online-F.0,,,,0.0025965331725226093,0.015129762576137514,0.001961486530820272,0.17856369653467774,0.38399766379246375,0.09130629657997222,-0.398
ru-en,online-G.0,,,,0.017535571301321582,0.05188096216312158,0.01315198182925231,0.29533867950015097,0.4771983284931924,0.19741066646724734,0.17
ru-en,uedin.5739,,,,0.017512000131084553,0.051810479014730175,0.013218005193660056,0.28420537760657827,0.46950046161719283,0.1862929505544172,0.11
tr-en,NICT.5708,0.015419198821572123,0.03422349032366443,0.017735785325370873,0.015326196453132691,0.04091508861925975,0.012098329999691378,0.24970871121113847,0.4333172421719318,0.15908493352646058,-0.055
tr-en,online-A.0,0.01587838685956481,0.034210160478100285,0.018173261972912618,0.014844229605470773,0.03925585359255075,0.011800203651868782,0.2610816946638604,0.4386556460196892,0.16959155494519318,0.04
tr-en,online-B.0,0.015311098600590073,0.03263742252559362,0.01731375054200859,0.013914964588932781,0.03786743633793406,0.011214764119238002,0.2511225780528712,0.43407709094957103,0.15889391020284752,-0.004
tr-en,online-G.0,0.018078711721235333,0.036595087211065296,0.020384442769887788,0.016722198932019323,0.039520587985345274,0.013982965943029602,0.2569820034289801,0.4318968981866498,0.16766566529858823,0.045
