candidate_id	reference_id	similarity	score
4918	5785	1.771602443333067e-05	1
4918	5790	9.388983625088232e-06	1
4918	5799	9.56108947056784e-06	1
4918	5800	7.321288672077408e-06	1
4918	5809	2.882289590706895e-06	1
4918	5814	4.846849442826663e-06	1
4918	5815	9.512163603789576e-07	1
4918	5819	4.883051906871002e-06	1
4918	5822	4.434398978325599e-06	1
4918	5825	3.5246181666087348e-06	1
4918	5826	2.439914049849829e-06	1
4918	5832	4.29247380586359e-06	1
4918	5833	1.4444918594918181e-06	1
4918	5834	3.97797681639145e-06	1
4918	5838	2.7922764198561814e-06	1
4918	5840	1.1030741670222473e-05	1
4918	5844	9.374994127468785e-07	1
4918	5849	1.7573849459203583e-05	1
4918	5850	7.1106619690450655e-06	1
4918	5852	1.334453818771978e-05	1
4918	5853	1.480553963382508e-05	1
4918	5854	3.258200470585253e-06	1
4918	5855	3.3255820306745264e-06	1
4918	5856	1.6374272048526833e-05	1
4918	5865	1.7755349628120856e-05	1
4918	5868	2.5121082959248556e-06	1
4918	5870	1.282500297394278e-06	1
4918	5871	3.8792659266379485e-06	1
4918	5875	1.7407654180070086e-06	1
4918	5876	2.6951553323798505e-06	1
4918	5877	2.3684683028358566e-06	1
4918	5878	1.771602443333067e-05	1
4918	5881	2.333953362184635e-06	1
4918	5883	2.4907007231244993e-06	1
4918	5886	6.465495687841624e-06	1
4918	5889	5.673267697918794e-06	1
4918	5893	3.400743428675554e-06	1
4918	5898	8.444659583380925e-06	1
4918	5904	9.285892933625239e-06	1
4918	5905	4.275910301690377e-06	1
4918	5906	7.828814051476431e-07	1
4918	5914	2.432275240045388e-06	1
4918	5917	9.334513689263819e-06	1
4918	5921	2.8714934682674244e-06	1
4918	5922	4.840484075096281e-06	1
4918	5927	6.68918151843544e-06	1
4918	5928	5.686638944119874e-07	1
4918	5931	3.181316278475827e-06	1
4918	5932	7.401117749920281e-07	1
4918	5934	2.8399049924403864e-06	1
4918	5935	3.0005932048472994e-06	1
4918	5947	8.450685716798353e-06	1
4918	5948	3.0540256583554756e-06	1
4918	5952	2.236565643216508e-05	1
4918	5956	7.174028670812964e-06	1
4918	5960	5.6997430980850015e-06	1
4918	5967	2.674530880861604e-06	1
4918	5968	1.0296579091749704e-05	1
4918	5971	1.7573849459203583e-05	1
4918	5974	6.251048282647663e-06	1
4918	5980	7.661545171786917e-06	1
4918	5981	2.5951654782479592e-06	1
4918	5984	1.6604180298138859e-06	1
4918	5987	1.861142205198136e-05	1
4918	5990	4.248854255028054e-06	1
4918	5997	1.1695185603284861e-06	1
4918	6002	4.22661034992295e-06	1
4918	6003	3.595931560140952e-06	1
4918	6006	3.801514104148358e-06	1
4918	6009	3.399498267246125e-06	1
4918	6010	5.220899550676258e-06	1
4918	6014	2.429966016904761e-06	1
4918	6016	4.152856712535894e-06	1
4918	6018	7.940486635453456e-06	1
4918	6020	9.346343148723544e-06	1
4918	6030	2.5225970902561326e-06	1
