cand id	similarity score	R score	P score	score
168	0.8691746	0.85091853	0.88823116	-0.5
169	0.9013365	0.90392315	0.89876467	0.0
170	0.8637834	0.8605105	0.8670813	-0.5
171	0.8688162	0.87095445	0.8666885	0.0
172	0.87848663	0.89805317	0.8597545	1.0
173	0.8955776	0.88209915	0.9094744	0.0
174	0.8945263	0.9044477	0.88482016	0.5
175	0.8895635	0.8949301	0.88426083	0.0
176	0.8464244	0.8434745	0.84939504	0.5
177	0.85598856	0.84707016	0.8650968	-0.5
178	0.87563556	0.87590325	0.875368	0.5
179	0.86356616	0.8926766	0.8362943	0.5
180	0.8835831	0.86757284	0.9001954	1.0
181	0.86404335	0.867398	0.8607145	0.5
182	0.8916469	0.91602874	0.86852944	0.0
183	0.8202218	0.830757	0.8099504	-0.5
184	0.8480091	0.84468937	0.8513551	0.0
185	0.859068	0.88799703	0.8319644	-1.0
186	0.87670606	0.8812998	0.87215996	0.5
187	0.8701808	0.8783499	0.86216223	0.0
188	0.8663445	0.8584357	0.8744005	0.5
189	0.8070926	0.7977626	0.81664336	-0.5
190	0.8572427	0.86661714	0.84806895	1.0
191	0.85835475	0.8480557	0.8689069	0.0
192	0.88849986	0.9032236	0.87424845	0.0
193	0.875291	0.8761535	0.8744301	0.0
194	0.8518616	0.8547284	0.8490139	-0.5
195	0.844456	0.8456038	0.84331125	0.5
196	0.8563791	0.85013837	0.8627122	0.5
197	0.87207574	0.8736266	0.8705305	0.0
198	0.8545103	0.85500693	0.85401434	-1.0
199	0.85357004	0.84577024	0.861515	0.0
200	0.8395191	0.88730806	0.7966147	-0.5
201	0.8607711	0.857613	0.8639526	0.0
202	0.8455872	0.8555754	0.8358296	0.0
203	0.86612695	0.88329756	0.8496113	-0.5
204	0.88960737	0.8993633	0.88006085	0.5
205	0.8830588	0.91820765	0.8505017	0.0
206	0.87633175	0.89008373	0.8629981	0.0
207	0.84232	0.8424091	0.8422309	-0.5
208	0.859179	0.86175936	0.8566141	0.5
209	0.8402299	0.8279061	0.85292614	0.5
210	0.8741931	0.8890373	0.8598364	-0.5
211	0.8321297	0.8405542	0.82387245	0.0
212	0.8653513	0.8621873	0.8685385	0.0
213	0.8468655	0.8521592	0.8416372	0.5
214	0.8361208	0.83104426	0.8412597	-1.0
215	0.8650919	0.8490467	0.8817553	0.5
216	0.8271036	0.82414097	0.83008766	-0.5
217	0.8519678	0.83868605	0.86567694	0.0
218	0.86285824	0.8441059	0.88246274	1.0
219	0.85718197	0.84804946	0.86651325	1.0
220	0.85912484	0.8441842	0.87460375	0.0
221	0.8882149	0.8782494	0.8984091	0.5
222	0.84990406	0.8500972	0.84971106	0.0
223	0.91301996	0.92653066	0.8998977	0.0
224	0.85572934	0.86446476	0.8471687	0.5
225	0.87967646	0.8673946	0.8923111	0.0
226	0.92234164	0.9366635	0.90845114	0.0
227	0.8759816	0.88174504	0.87029314	0.0
228	0.8204848	0.8304888	0.8107191	0.5
229	0.8866868	0.9189357	0.85662466	0.0
230	0.87811166	0.8982187	0.8588851	0.5
231	0.8707726	0.8735548	0.868008	-0.5
232	0.820347	0.8162881	0.82444656	-1.0
233	0.8711352	0.8525691	0.89052784	0.0
234	0.82613295	0.83424765	0.81817454	-1.0
235	0.87201685	0.87650937	0.86757016	0.5
236	0.84931827	0.85471743	0.8439869	-0.5
237	0.8811646	0.9010554	0.8621331	0.5
238	0.88882387	0.917675	0.8617315	1.0
239	0.8322097	0.81981	0.84499025	0.0
240	0.8803133	0.89187276	0.8690496	0.0
241	0.8453837	0.83691967	0.8540206	1.0
242	0.8405611	0.8333074	0.8479422	0.0
243	0.849372	0.8648458	0.8344422	0.0
244	0.8855411	0.8999115	0.8716223	1.0
245	0.8365666	0.82982475	0.8434189	0.0
246	0.88128555	0.89236104	0.8704816	-0.5
247	0.8979896	0.91989404	0.877104	0.0
248	0.8730981	0.8921342	0.8548573	0.0
249	0.8172417	0.81430554	0.8201992	1.0
250	0.8862264	0.8958246	0.8768317	0.0
251	0.83553296	0.8216677	0.8498741	-1.0
252	0.87199074	0.89760906	0.84779423	1.0
253	0.8789045	0.8909282	0.867201	-0.5
254	0.85939467	0.88484776	0.83536494	0.0
255	0.83177066	0.8206152	0.8432336	0.0
256	0.87363297	0.88457215	0.86296105	-0.5
257	0.8909107	0.8949909	0.88686734	0.0
258	0.8360131	0.8339603	0.838076	0.0
259	0.86034656	0.85205686	0.86879915	0.0
260	0.82568896	0.81565475	0.83597314	0.0
261	0.89287955	0.884493	0.9014267	0.5
262	0.8632051	0.87016493	0.8563558	0.0
263	0.8942426	0.9082345	0.8806752	1.0
264	0.8802291	0.89047384	0.8702174	-0.5
265	0.8689154	0.86126	0.8767081	0.0
266	0.9158289	0.9132756	0.9183965	1.0
267	0.8475499	0.8321192	0.8635636	-1.0
268	0.86826015	0.86995333	0.86657345	0.5
269	0.8222298	0.82361764	0.8208467	0.0
270	0.885543	0.87952	0.89164907	0.5
271	0.8850397	0.8953465	0.87496734	0.5
272	0.8706541	0.8530207	0.889032	0.0
273	0.87693256	0.90331554	0.85204697	0.5
274	0.85633963	0.8829106	0.83132124	0.5
275	0.9082197	0.9042657	0.9122083	-0.5
276	0.8675808	0.87690145	0.85845625	0.0
277	0.8576809	0.8648135	0.850665	0.5
278	0.85401493	0.8570465	0.8510048	0.0
279	0.86846775	0.86293274	0.87407416	0.5
280	0.87273794	0.86451364	0.8811202	0.0
281	0.85351264	0.880746	0.8279129	0.5
282	0.85569876	0.84663755	0.8649559	-0.5
283	0.8654976	0.8734945	0.8576457	0.0
284	0.8504954	0.8484066	0.8525944	0.0
285	0.87967515	0.8786162	0.88073665	0.0
286	0.85418135	0.8822134	0.8278758	0.0
287	0.8743857	0.87650514	0.87227654	1.0
288	0.8355904	0.82476187	0.8467071	-0.5
289	0.882002	0.91144896	0.85439825	-0.5
290	0.8575925	0.8430435	0.8726524	0.0
291	0.8670917	0.8719184	0.8623182	0.5
292	0.8632176	0.85783094	0.86867225	-0.5
293	0.86392164	0.8716826	0.85629773	0.5
294	0.894298	0.89303005	0.89556956	0.5
295	0.8307826	0.8298645	0.8317028	1.0
296	0.8448014	0.8536867	0.83609927	-0.5
297	0.8847718	0.8872161	0.8823411	0.0
298	0.8532215	0.8504719	0.8559888	0.0
299	0.8927405	0.899049	0.8865198	0.5
300	0.87054384	0.8656175	0.8755266	0.5
301	0.8616577	0.8607267	0.8625905	0.0
302	0.8487041	0.836271	0.8615126	-0.5
303	0.89127564	0.9290574	0.8564467	0.5
304	0.84232575	0.83174354	0.85318077	-0.5
305	0.8550814	0.8485044	0.8617611	0.5
306	0.8483259	0.8367479	0.86022884	1.0
307	0.84323335	0.8519301	0.8347125	-0.5
308	0.8412967	0.8568277	0.82631856	-1.0
309	0.8541269	0.86750585	0.84115434	1.0
310	0.83222556	0.853406	0.812071	-0.5
311	0.86547345	0.8615749	0.86940753	0.0
312	0.876056	0.89030486	0.86225617	0.0
313	0.8671575	0.8575921	0.8769387	0.0
314	0.8541516	0.8430448	0.865555	0.5
315	0.9013687	0.9234114	0.88035375	0.0
316	0.87822247	0.8844523	0.87207985	1.0
317	0.8753623	0.86445415	0.88654923	0.5
318	0.8675974	0.8752728	0.86005545	0.0
319	0.9625904	0.947439	0.97823423	0.5
320	0.84534556	0.8536294	0.83722097	0.5
321	0.8429903	0.8314807	0.85482293	0.0
322	0.8311505	0.831551	0.83075035	0.0
323	0.86149997	0.8717389	0.85149884	0.0
324	0.8861393	0.8803438	0.8920117	0.0
325	0.8688585	0.8738377	0.8639357	1.0
