cand id	R1f	R1p	R1r	R2f	R2p	R2r	RLf	RLp	RLr	score
529	0.34146340963447686	0.3442622950819672	0.3387096774193548	0.11570247433918471	0.11666666666666667	0.11475409836065574	0.3333333283640908	0.3617021276595745	0.3090909090909091	0.5
530	0.6935483821084808	0.6615384615384615	0.7288135593220338	0.5901639294383232	0.5625	0.6206896551724138	0.7199999950079999	0.6923076923076923	0.75	0.5
531	0.40707964113086387	0.35384615384615387	0.4791666666666667	0.2522522473695317	0.21875	0.2978723404255319	0.35555555067654326	0.3076923076923077	0.42105263157894735	0.5
532	0.21505375892704368	0.3125	0.16393442622950818	0.021978017485811813	0.03225806451612903	0.016666666666666666	0.23684210104224382	0.391304347826087	0.16981132075471697	-1.0
533	0.33009708295598084	0.2463768115942029	0.5	0.09900989659053054	0.07352941176470588	0.15151515151515152	0.2954545408264463	0.23214285714285715	0.40625	0.0
534	0.1553398016174947	0.25806451612903225	0.1111111111111111	0.07920791661601825	0.13333333333333333	0.056338028169014086	0.12195121501487226	0.17857142857142858	0.09259259259259259	-0.5
535	0.22413792628567195	0.28888888888888886	0.18309859154929578	0.08771929350569432	0.11363636363636363	0.07142857142857142	0.23999999520000007	0.3	0.2	0.5
536	0.40789473230003465	0.31313131313131315	0.5849056603773585	0.14666666213688903	0.11224489795918367	0.21153846153846154	0.42622950349905936	0.34210526315789475	0.5652173913043478	0.0
537	0.25999999503200005	0.2826086956521739	0.24074074074074073	0.0408163215639323	0.044444444444444446	0.03773584905660377	0.28205127726167	0.3548387096774194	0.23404255319148937	0.0
538	0.36986300900262714	0.2967032967032967	0.4909090909090909	0.1111111064236113	0.08888888888888889	0.14814814814814814	0.3529411716262976	0.3	0.42857142857142855	0.5
539	0.40540540042001466	0.38461538461538464	0.42857142857142855	0.22222221723765442	0.21052631578947367	0.23529411764705882	0.4225352062924024	0.39473684210526316	0.45454545454545453	1.0
540	0.3692307642414202	0.35294117647058826	0.3870967741935484	0.09523809024943337	0.09090909090909091	0.1	0.29999999502222235	0.28125	0.32142857142857145	0.0
541	0.13592232539164875	0.1794871794871795	0.109375	0.0	0.0	0.0	0.16438355754550582	0.2857142857142857	0.11538461538461539	0.0
542	0.2900763310902629	0.36538461538461536	0.24050632911392406	0.10852712700198326	0.13725490196078433	0.08974358974358974	0.20833332896050358	0.3225806451612903	0.15384615384615385	-1.0
543	0.33823528943014713	0.27058823529411763	0.45098039215686275	0.13432835353085334	0.10714285714285714	0.18	0.24299064939820078	0.203125	0.3023255813953488	0.0
544	0.2905982862736504	0.2125	0.4594594594594595	0.10434782178601153	0.0759493670886076	0.16666666666666666	0.2626262579981635	0.20634920634920634	0.3611111111111111	0.0
545	0.33027522471172466	0.2608695652173913	0.45	0.16822429443270168	0.1323529411764706	0.23076923076923078	0.3058823481411765	0.2549019607843137	0.38235294117647056	0.5
546	0.4109588996960031	0.625	0.30612244897959184	0.2777777733805942	0.425531914893617	0.20618556701030927	0.45378150794435423	0.6136363636363636	0.36	0.0
547	0.22222221728395072	0.2	0.25	0.056603768648985836	0.05084745762711865	0.06382978723404255	0.2558139485127096	0.2391304347826087	0.275	0.5
548	0.18367346448979607	0.21428571428571427	0.16071428571428573	0.020833328439671287	0.024390243902439025	0.01818181818181818	0.1714285672285715	0.2857142857142857	0.12244897959183673	-1.0
549	0.2239999951411201	0.1917808219178082	0.2692307692307692	0.04878048295062511	0.041666666666666664	0.058823529411764705	0.27906976246619797	0.3	0.2608695652173913	-0.5
550	0.28947367921052636	0.2894736842105263	0.2894736842105263	0.054054049054054525	0.05405405405405406	0.05405405405405406	0.23728813060614776	0.25	0.22580645161290322	0.0
551	0.3157894687113574	0.3409090909090909	0.29411764705882354	0.1505376294369293	0.16279069767441862	0.14	0.3380281641341004	0.4	0.2926829268292683	-0.5
552	0.15384614904615398	0.1282051282051282	0.19230769230769232	0.0	0.0	0.0	0.07407406913580279	0.06666666666666667	0.08333333333333333	-1.0
553	0.5576923027385357	0.6170212765957447	0.5087719298245614	0.3725490146559017	0.41304347826086957	0.3392857142857143	0.5434782559073724	0.5952380952380952	0.5	0.5
554	0.22857142357142868	0.22857142857142856	0.22857142857142856	0.0	0.0	0.0	0.2295081917334051	0.2413793103448276	0.21875	-1.0
555	0.46511627424283397	0.39215686274509803	0.5714285714285714	0.21428570946712028	0.18	0.2647058823529412	0.465753419771064	0.40476190476190477	0.5483870967741935	-0.5
556	0.2091503219770175	0.25806451612903225	0.17582417582417584	0.01324502829700627	0.01639344262295082	0.011111111111111112	0.17821781777472803	0.32142857142857145	0.1232876712328767	0.0
557	0.3738317708271465	0.4444444444444444	0.3225806451612903	0.2095238046548754	0.25	0.18032786885245902	0.34883720434559223	0.38461538461538464	0.3191489361702128	1.0
558	0.33870967244016653	0.3620689655172414	0.3181818181818182	0.09836065075920478	0.10526315789473684	0.09230769230769231	0.4042553142598461	0.475	0.35185185185185186	0.5
559	0.1333333285802471	0.10909090909090909	0.17142857142857143	0.0	0.0	0.0	0.1428571381405897	0.11538461538461539	0.1875	0.5
560	0.24691357546715448	0.20408163265306123	0.3125	0.025316450927736836	0.020833333333333332	0.03225806451612903	0.19999999506530625	0.1794871794871795	0.22580645161290322	0.0
561	0.2442748048598567	0.3902439024390244	0.17777777777777778	0.062015499597380265	0.1	0.0449438202247191	0.2424242383675135	0.42857142857142855	0.16901408450704225	0.0
562	0.3508771880209296	0.3225806451612903	0.38461538461538464	0.07142856646843147	0.06557377049180328	0.0784313725490196	0.27586206396617785	0.27906976744186046	0.2727272727272727	0.0
563	0.22900762880018657	0.189873417721519	0.28846153846153844	0.062015499095006685	0.05128205128205128	0.0784313725490196	0.24444443944691369	0.25	0.2391304347826087	-1.0
564	0.30357142397959186	0.425	0.2361111111111111	0.01818181360495983	0.02564102564102564	0.014084507042253521	0.3225806405226038	0.4411764705882353	0.2542372881355932	0.0
565	0.11428570948571448	0.09523809523809523	0.14285714285714285	0.0	0.0	0.0	0.14285713786352058	0.13793103448275862	0.14814814814814814	0.0
566	0.10294117214641023	0.16279069767441862	0.07526881720430108	0.0	0.0	0.0	0.12903225355069967	0.1875	0.09836065573770492	0.5
567	0.4999999951714678	0.6136363636363636	0.421875	0.16981131593271642	0.20930232558139536	0.14285714285714285	0.42222221742222227	0.5277777777777778	0.35185185185185186	0.0
568	0.359999995	0.36	0.36	0.1632653011224491	0.16326530612244897	0.16326530612244897	0.3678160869599683	0.35555555555555557	0.38095238095238093	1.0
569	0.14925372659389638	0.19230769230769232	0.12195121951219512	0.015151510409781098	0.0196078431372549	0.012345679012345678	0.14953270547296724	0.18604651162790697	0.125	0.5
570	0.3846153796227811	0.37037037037037035	0.4	0.23376622877382366	0.225	0.24324324324324326	0.35294117147941534	0.3387096774193548	0.3684210526315789	0.0
571	0.30252100355907074	0.2571428571428571	0.3673469387755102	0.051282046443129975	0.043478260869565216	0.0625	0.27999999509800005	0.24561403508771928	0.32558139534883723	0.5
572	0.2432432384769906	0.2	0.3103448275862069	0.055555550802469544	0.045454545454545456	0.07142857142857142	0.2692307642381657	0.28	0.25925925925925924	0.0
573	0.3544303759653902	0.23728813559322035	0.7	0.1558441521268343	0.10344827586206896	0.3157894736842105	0.3636363595362718	0.2553191489361702	0.631578947368421	0.0
574	0.23913042978497173	0.23404255319148937	0.24444444444444444	0.08888888389135831	0.08695652173913043	0.09090909090909091	0.25581394849107636	0.2619047619047619	0.25	0.5
575	0.34848484374311295	0.2839506172839506	0.45098039215686275	0.13846153372781084	0.1125	0.18	0.29629629150377235	0.24615384615384617	0.37209302325581395	0.0
576	0.2535211217853601	0.23684210526315788	0.2727272727272727	0.11594202401176246	0.10810810810810811	0.125	0.33333332855034725	0.42105263157894735	0.27586206896551724	-1.0
577	0.24444443974320992	0.19642857142857142	0.3235294117647059	0.02272726803977369	0.01818181818181818	0.030303030303030304	0.21951219036287933	0.18	0.28125	1.0
578	0.279411759982699	0.36538461538461536	0.2261904761904762	0.10447760722544018	0.13725490196078433	0.08433734939759036	0.30107526444675686	0.4666666666666667	0.2222222222222222	0.0
579	0.3453237360095234	0.3380281690140845	0.35294117647058826	0.07299269573232492	0.07142857142857142	0.07462686567164178	0.2803738267761377	0.2830188679245283	0.2777777777777778	-0.5
580	0.17073170236466406	0.15555555555555556	0.1891891891891892	0.0	0.0	0.0	0.17857142380102056	0.22727272727272727	0.14705882352941177	-0.5
581	0.36697247209830824	0.3389830508474576	0.4	0.1869158828858417	0.1724137931034483	0.20408163265306123	0.35555555055802474	0.34782608695652173	0.36363636363636365	0.0
582	0.11940298016484761	0.10526315789473684	0.13793103448275862	0.030769225865089542	0.02702702702702703	0.03571428571428571	0.126984122086168	0.1111111111111111	0.14814814814814814	1.0
583	0.19047618561507945	0.22857142857142856	0.16326530612244897	0.024390239048186567	0.029411764705882353	0.020833333333333332	0.15584415098667584	0.1875	0.13333333333333333	0.0
584	0.24590163445310403	0.21428571428571427	0.28846153846153844	0.1333333284458335	0.11594202898550725	0.1568627450980392	0.2772277178825606	0.2413793103448276	0.32558139534883723	0.0
585	0.42307691810650894	0.39285714285714285	0.4583333333333333	0.15584415087451525	0.14457831325301204	0.16901408450704225	0.40322580146331954	0.38461538461538464	0.423728813559322	0.0
586	0.4629629581344307	0.5681818181818182	0.390625	0.2641509385742257	0.32558139534883723	0.2222222222222222	0.4731182746675917	0.55	0.41509433962264153	1.0
587	0.317073165743605	0.3333333333333333	0.3023255813953488	0.0499999950125005	0.05263157894736842	0.047619047619047616	0.3333333283680556	0.36363636363636365	0.3076923076923077	0.0
588	0.2941176421896627	0.3508771929824561	0.25316455696202533	0.059701487672087716	0.07142857142857142	0.05128205128205128	0.23636363152892573	0.28888888888888886	0.2	0.5
